Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
3935,f5f,Interop 7,T,King County (Interop) - King County Interop 7,Interop,King County
3937,f61,Interop 4,T,King County (Interop) - King County Interop 4,Interop,King County
3939,f63,Interop 5,T,King County (Interop) - King County Interop 5,Interop,King County
3945,f69,KC All Gov,T,King County (Interop) - Interop All Local Government,Interop,King County
3969,f81,IMS-All,T,King County (Interop) - Incident Management System - All,Interop,King County
3971,f83,Interop 2,T,King County (Interop) - King County Interop 2,Interop,King County
3973,f85,Interop 3,T,King County (Interop) - King County Interop 3,Interop,King County
50001,c351,TECH 1,T,Radio Technicians (Public Works) - Radio Techs (Voice Testing),Public Works,Radio Technicians
50002,c352,TECH 2,T,Radio Technicians (Public Works) - Radio Techs (Voice Testing),Public Works,Radio Technicians
50003,c353,TECH 3,T,Radio Technicians (Public Works) - Radio Techs (Voice Testing),Public Works,Radio Technicians
50004,c354,TECH 4,T,Radio Technicians (Public Works) - Radio Techs (Voice Testing),Public Works,Radio Technicians
50005,c355,TECH 5,T,Radio Technicians (Public Works) - Radio Techs (Voice Testing),Public Works,Radio Technicians
50006,c356,TECH 6,T,Radio Technicians (Public Works) - Radio Techs (Voice Testing),Public Works,Radio Technicians
50007,c357,TECH 7,D,Radio Technicians (Public Works) - Radio Techs (Voice Testing),Public Works,Radio Technicians
50008,c358,TECH 8,T,Radio Technicians (Public Works) - Radio Techs (Voice Testing),Public Works,Radio Technicians
50009,c359,TECH 9,T,Radio Technicians (Public Works) - Radio Techs (Voice Testing),Public Works,Radio Technicians
50010,c35a,TECH 10,T,Radio Technicians (Public Works) - Radio Techs (Voice Testing),Public Works,Radio Technicians
